#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,YBH039,YBH041,YBH051,YBH052,YBH053,YBH055,YBH056,,,,YBH,,
Otu920,0,0,0,2,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0,9,,,,,
Otu805,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu238,0,0,0,0,2300,27,0,0,1,0,479,1,0,42,0,20,2945,64,15,0,5,18,2808,,,,,
Otu39,0,0,0,0,634,782,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1449,,,,,
Otu34,0,0,0,0,2584,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233,,,,,
Otu349,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,
Otu120,0,0,0,0,3,1,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,285,,,,,
Otu702,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,,,,,
Otu329,0,0,0,0,10,2,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,86,,,,,
Otu745,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu525,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,
Otu773,0,0,0,0,8,0,0,0,0,0,34,0,0,0,0,14,0,32,12,0,4,9,42,,,,,
Otu422,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,,
Otu251,0,0,0,0,8,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,122,,,,,
Otu355,0,0,0,0,22,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,51,,,,,
Otu590,0,0,0,0,8,1,136,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,316,,,,,
Otu1106,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,,,,,
Otu106,0,0,0,0,20,12,77,0,11,0,50,166,0,0,0,0,0,0,0,0,0,0,336,,,,,
Otu835,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu1179,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,,,,,
Otu509,0,0,0,0,5,0,0,0,0,0,0,0,0,22,0,36,0,134,176,0,105,164,5,,,,,
Otu309,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,,,,
Otu1036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu1105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu4,0,0,0,0,7,0,0,0,0,0,779,0,2,0,0,4962,47584,6520,1370,4,573,4718,788,,,,,
Otu372,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,,,,,
Otu326,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,29,,,,,
Otu222,0,0,0,0,4,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,92,,,,,
Otu979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu448,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,,,,,
Otu1145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu483,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,
Otu381,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,25,,,,,
Otu535,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,
Otu678,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu1245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu1038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,,,,,
Otu837,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,
Otu802,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,7,,,,,
Otu224,0,0,0,0,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,,,,,
Otu1247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu980,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,
Otu480,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,,,,,
Otu519,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,
Otu838,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,
Otu27,0,0,0,0,21,377,0,0,51,0,0,2074,0,0,0,0,0,0,11,0,0,0,2523,,,,,
Otu908,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu393,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,,,,,
Otu591,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu1037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu581,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,
Otu111,0,0,0,0,3,0,0,0,0,0,24,0,262,0,0,2,0,10,0,0,0,0,289,,,,,
Otu216,0,0,0,0,1,0,0,0,0,0,84,0,0,52,0,0,0,0,0,0,0,0,85,,,,,
Otu1123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu1144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu857,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,
Otu1130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu1102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu518,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,
Otu796,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,
Otu547,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,
Otu292,0,0,0,0,3,6,0,0,0,14,0,0,0,69,0,3,0,0,1,0,3,0,23,,,,,
Otu731,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,,
Otu976,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu807,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu734,0,0,0,0,1,3,0,0,0,0,0,375,0,0,0,0,336,356,46,1830,19,0,379,,,,,
Otu1043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu738,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,
Otu74,0,0,0,0,1,0,0,0,0,0,0,613,116,0,0,0,0,0,0,0,0,9,730,,,,,
Otu1116,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
