,RGnumSampled,variable,value,Location
512,50900,usearch.RG025,47.511,Governors Island
513,51000,usearch.RG025,47.526,Governors Island
514,51100,usearch.RG025,47.534,Governors Island
515,51200,usearch.RG025,47.545,Governors Island
516,51300,usearch.RG025,47.553,Governors Island
517,51400,usearch.RG025,47.561,Governors Island
518,51500,usearch.RG025,47.575,Governors Island
519,51600,usearch.RG025,47.585,Governors Island
520,51700,usearch.RG025,47.589,Governors Island
521,51800,usearch.RG025,47.599,Governors Island
522,51900,usearch.RG025,47.602,Governors Island
523,52000,usearch.RG025,47.612,Governors Island
524,52100,usearch.RG025,47.618,Governors Island
525,52200,usearch.RG025,47.627,Governors Island
526,52300,usearch.RG025,47.631,Governors Island
527,52400,usearch.RG025,47.639,Governors Island
528,52500,usearch.RG025,47.65,Governors Island
529,52600,usearch.RG025,47.654,Governors Island
530,52700,usearch.RG025,47.661,Governors Island
531,52800,usearch.RG025,47.679,Governors Island
532,52900,usearch.RG025,47.688,Governors Island
533,53000,usearch.RG025,47.699,Governors Island
534,53100,usearch.RG025,47.711,Governors Island
535,53200,usearch.RG025,47.718,Governors Island
536,53300,usearch.RG025,47.726,Governors Island
537,53400,usearch.RG025,47.734,Governors Island
538,53500,usearch.RG025,47.741,Governors Island
539,53600,usearch.RG025,47.745,Governors Island
540,53700,usearch.RG025,47.752,Governors Island
541,53800,usearch.RG025,47.759,Governors Island
542,53900,usearch.RG025,47.769,Governors Island
543,54000,usearch.RG025,47.775,Governors Island
544,54100,usearch.RG025,47.784,Governors Island
545,54200,usearch.RG025,47.788,Governors Island
546,54300,usearch.RG025,47.793,Governors Island
547,54400,usearch.RG025,47.806,Governors Island
548,54500,usearch.RG025,47.817,Governors Island
549,54600,usearch.RG025,47.823,Governors Island
550,54700,usearch.RG025,47.836,Governors Island
551,54800,usearch.RG025,47.846,Governors Island
552,54900,usearch.RG025,47.851,Governors Island
553,55000,usearch.RG025,47.86,Governors Island
554,55100,usearch.RG025,47.868,Governors Island
555,55200,usearch.RG025,47.871,Governors Island
556,55300,usearch.RG025,47.877,Governors Island
557,55400,usearch.RG025,47.884,Governors Island
558,55500,usearch.RG025,47.892,Governors Island
559,55600,usearch.RG025,47.9,Governors Island
560,55700,usearch.RG025,47.906,Governors Island
561,55800,usearch.RG025,47.913,Governors Island
562,55900,usearch.RG025,47.918,Governors Island
563,56000,usearch.RG025,47.923,Governors Island
564,56100,usearch.RG025,47.929,Governors Island
565,56200,usearch.RG025,47.937,Governors Island
566,56300,usearch.RG025,47.944,Governors Island
567,56400,usearch.RG025,47.949,Governors Island
568,56500,usearch.RG025,47.96,Governors Island
569,56600,usearch.RG025,47.967,Governors Island
570,56700,usearch.RG025,47.974,Governors Island
571,56800,usearch.RG025,47.987,Governors Island
572,56900,usearch.RG025,47.993,Governors Island
573,57000,usearch.RG025,47.999,Governors Island
574,57100,usearch.RG025,48.01,Governors Island
575,57200,usearch.RG025,48.02,Governors Island
576,57300,usearch.RG025,48.027,Governors Island
577,57400,usearch.RG025,48.034,Governors Island
578,57500,usearch.RG025,48.038,Governors Island
579,57600,usearch.RG025,48.043,Governors Island
580,57700,usearch.RG025,48.054,Governors Island
581,57800,usearch.RG025,48.062,Governors Island
582,57900,usearch.RG025,48.068,Governors Island
583,58000,usearch.RG025,48.079,Governors Island
584,58100,usearch.RG025,48.088,Governors Island
585,58200,usearch.RG025,48.098,Governors Island
586,58300,usearch.RG025,48.104,Governors Island
587,58400,usearch.RG025,48.111,Governors Island
588,58500,usearch.RG025,48.117,Governors Island
589,58600,usearch.RG025,48.123,Governors Island
590,58700,usearch.RG025,48.129,Governors Island
591,58800,usearch.RG025,48.139,Governors Island
592,58900,usearch.RG025,48.145,Governors Island
593,59000,usearch.RG025,48.154,Governors Island
594,59100,usearch.RG025,48.158,Governors Island
595,59200,usearch.RG025,48.17,Governors Island
596,59300,usearch.RG025,48.176,Governors Island
597,59400,usearch.RG025,48.18,Governors Island
598,59500,usearch.RG025,48.19,Governors Island
599,59600,usearch.RG025,48.202,Governors Island
600,59700,usearch.RG025,48.21,Governors Island
601,59800,usearch.RG025,48.216,Governors Island
602,59900,usearch.RG025,48.219,Governors Island
603,60000,usearch.RG025,48.231,Governors Island
604,60100,usearch.RG025,48.24,Governors Island
