#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,,,,,,
Otu267,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,,,,,
Otu253,0,0,0,0,0,0,43,0,0,0,13,0,0,0,0,0,,,,,
Otu318,0,0,0,0,0,0,18,0,0,0,31,0,0,0,0,0,,,,,
Otu376,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,,,,
Otu559,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,
Otu571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,
Otu514,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,
Otu538,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,
Otu505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,
Otu185,0,0,0,0,0,0,1,4,0,0,9,14,45,64,71,180,,,,,
Otu48,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,,,,,
Otu59,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,,,,,
Otu41,0,0,0,0,0,0,0,196,0,783,0,0,0,0,0,0,,,,,
Otu161,0,0,0,0,0,0,0,131,0,0,0,27,0,0,0,0,,,,,
Otu335,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,,,,,
Otu150,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,,,,,
Otu92,0,0,0,0,0,0,0,0,288,0,34,0,0,17,0,17,,,,,
Otu129,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,,,,,
Otu119,0,0,0,0,0,0,0,0,121,0,25,121,0,0,0,0,,,,,
Otu133,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,,,,,
Otu197,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,,,,,
Otu110,0,0,0,0,0,0,0,0,154,91,0,27,0,0,269,269,,,,,
Otu68,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,,,,,
Otu353,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,,,,,
Otu275,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,,,,,
Otu321,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,,,,,
Otu323,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,,,,,
Otu295,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,,,,,
Otu306,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,,,,,
Otu271,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,,,,,
Otu262,0,0,0,0,0,0,0,0,28,0,36,0,0,20,0,20,,,,,
Otu337,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,,,,,
Otu336,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,,,,,
Otu84,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,,,,,
Otu51,0,0,0,0,0,0,0,0,0,533,7,0,1,122,0,123,,,,,
Otu28,0,0,0,0,0,0,0,0,0,1646,0,0,1,0,0,1,,,,,
Otu78,0,0,0,0,0,0,0,0,0,829,0,0,0,12,0,12,,,,,
Otu258,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,,,,,
Otu62,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,,,,,
Otu500,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,,,,,
Otu136,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,,,,,
Otu228,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,,,,,
Otu61,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,,,,,
Otu91,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,,,,,
Otu32,0,0,0,0,0,0,0,0,0,788,0,356,0,0,0,0,,,,,
